from, CZK, DKK, GBP, GIP, HRK, IDR, INR, ISK, KPW, LAK, NIO, NOK, RUB, SBD, SEK, SZL, TRY, UGX, UZS, VES, YER, 
CZK, x, x, x, x, x, x, x, x, x, x, x, 1.5069358157765236, 0.8391288959392453, x, x, x, x, x, 1.7562326244543076, x, x, 
DKK, x, x, 1.2015577195868592, 1.0346122650738272, x, 1.2585246290077576, x, x, x, x, x, x, x, 1.9548306280779686, x, x, x, x, x, 1.3583820443746506, 1.5483767483788915, 
GBP, x, 0.8311000377446622, x, x, x, 1.297634484170505, 1.0791392721010022, x, x, x, x, x, x, 0.5048450677142026, x, 0.8055340581046009, x, 0.6246876808313363, x, x, 1.247764176259354, 
GIP, x, 0.9652066767541853, x, x, 1.8245806169730765, x, 1.3060510399256628, x, x, 0.6595003054250701, 1.1138520929996671, x, x, x, x, x, x, x, x, x, 0.8652232813739603, 
HRK, x, x, x, 0.5473118900921463, x, x, x, x, x, 0.5158911158096433, 0.7972943953565486, x, x, 0.5683003413012886, x, 0.7436081121352944, x, 1.908794585891146, x, x, 0.6472519571019686, 
IDR, x, 0.7934804318357709, 0.7695654502734486, x, x, x, 1.6323705998426445, x, x, 0.6047411839311232, 1.0746666106007368, x, x, x, x, x, x, 0.646236999909379, x, 1.1844117822544282, 1.0333874296640253, 
INR, x, x, 0.9253807102736629, 0.7646061567072199, x, 0.611757321650667, x, x, x, 0.8307219998885904, x, x, x, x, x, 1.7741843953696068, x, x, x, 0.794291817016738, 1.4894946416554256, 
ISK, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.9420018963748065, x, x, x, 0.7959764337159806, x, x, 
KPW, x, x, x, x, x, x, x, x, x, x, x, 0.7011001646698638, x, x, 1.0115474355100336, x, x, x, x, x, x, 
LAK, x, x, x, 1.5141989440890224, 1.9357082056623434, 1.6513091759511551, 1.2021045141876041, x, x, x, x, x, x, 0.6859318245929389, x, x, x, 0.5428571535835905, x, x, 1.1315767441566755, 
NIO, x, x, x, 0.8965415357901809, 1.2525043094708452, 0.9292320578777498, x, x, x, x, x, x, x, x, x, 1.419726358011003, x, 0.9864593074372249, x, 1.0984785935492487, x, 
NOK, 0.6626789645891077, x, x, x, x, x, x, x, 1.4243537748579187, x, x, x, x, x, 0.48632747370614277, x, x, x, x, x, x, 
RUB, 1.1900611109134427, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
SBD, x, 0.5108445978682503, 1.9780616469573074, x, 1.7571952601935992, x, x, x, x, 1.4558511943860446, x, x, x, x, x, 0.6547236320355817, x, 1.802098862662956, x, x, 1.5576373679147848, 
SEK, x, x, x, x, x, x, x, 0.5142192023422701, 0.9872148661001905, x, x, 0.5140569133280333, x, x, x, x, x, x, x, x, x, 
SZL, x, x, 1.2396926685517697, x, 1.3429313771651508, x, 0.5628584428469131, x, x, x, 0.7033853111666252, x, x, 1.5252460996348427, x, x, x, x, x, 0.817773594785747, x, 
TRY, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.2742233914987666, x, 1.777255671055909, x, 
UGX, x, x, 1.5985822943908057, x, 0.5231650767884028, 1.5452762163742766, x, x, x, 1.8395532959431835, 1.012322209920025, x, x, 0.5541397793378434, x, x, 0.783704547227342, x, x, x, 0.5872886338911759, 
UZS, 0.5686118411627367, x, x, x, x, x, x, 1.2545781807120102, x, x, x, x, x, x, x, x, x, x, x, x, x, 
VES, x, 0.7351500781657893, x, x, x, 0.8431313172182818, 1.2572390206054274, x, x, x, 0.9090888725236297, x, x, x, x, 1.2211383107358236, 0.5618857671207929, x, x, x, x, 
YER, x, 0.6449429488957074, 0.8003232382378173, 1.1541698976421961, 1.542853065400166, 0.9663507000716065, 0.6704385757246953, x, x, 0.8824983999165354, x, x, x, 0.6411085703714712, x, x, x, 1.7003813942124946, x, x, x, 
