started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-01-01 10:39:50.506000,2022-01-01 10:50:23.704000,633,463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468
2022-01-01 11:48:50.866000,2022-01-01 11:53:36.585000,285,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388
2022-01-01 11:59:00.144000,2022-01-01 12:03:05.301000,245,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388
2022-01-01 12:07:11.023000,2022-01-01 12:51:04.514000,2633,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,453,Frogner Stadion,ved hovedinngangen,59.92753764682686,10.710262803261259
2022-01-01 12:08:43.752000,2022-01-01 12:51:08.063000,2544,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,453,Frogner Stadion,ved hovedinngangen,59.92753764682686,10.710262803261259
2022-01-01 12:09:11.254000,2022-01-01 12:50:56.646000,2505,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388,453,Frogner Stadion,ved hovedinngangen,59.92753764682686,10.710262803261259
2022-01-01 14:16:11.632000,2022-01-01 14:20:31.851000,260,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,455,Sofienbergparken sør,langs Sofienberggata,59.922337,10.7617503
2022-01-01 14:18:04.014000,2022-01-01 14:24:51.964000,407,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,516,Finnmarksgata,ved Telavåggata,59.922839,10.775658
2022-01-01 14:37:36.148000,2022-01-01 14:42:43.519000,307,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,406,Carl Berners plass sør,langs Finnmarkgata,59.92507,10.775996
2022-01-01 14:52:13.139000,2022-01-01 15:10:45.685000,1112,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,414,Kontraskjæret,ved Christiania Torv,59.910242,10.73857
2022-01-01 16:13:34.401000,2022-01-01 16:27:58.507000,864,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,562,Slottsparken Øst,ved Nordraaks plass,59.917485,10.732128
2022-01-01 16:13:46.085000,2022-01-01 16:28:05.115000,859,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,562,Slottsparken Øst,ved Nordraaks plass,59.917485,10.732128
2022-01-01 16:14:47.994000,2022-01-01 16:27:44.658000,776,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,562,Slottsparken Øst,ved Nordraaks plass,59.917485,10.732128
2022-01-01 17:59:36.836000,2022-01-01 18:03:56.156000,259,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,585,Nordre gate,ved Grünerbrua,59.92114988507087,10.754714015938562
2022-01-01 21:37:28.830000,2022-01-01 21:56:36.610000,1147,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,579,Bogstadveien,ved Sporveisgata,59.924732,10.724628
