start_station_id,end_station_id,started_at,ended_at
463,607,2022-01-01 10:39:50.506000,2022-01-01 10:50:23.704000
564,564,2022-01-01 11:48:50.866000,2022-01-01 11:53:36.585000
564,564,2022-01-01 11:59:00.144000,2022-01-01 12:03:05.301000
564,453,2022-01-01 12:07:11.023000,2022-01-01 12:51:04.514000
564,453,2022-01-01 12:08:43.752000,2022-01-01 12:51:08.063000
564,453,2022-01-01 12:09:11.254000,2022-01-01 12:50:56.646000
398,455,2022-01-01 14:16:11.632000,2022-01-01 14:20:31.851000
398,516,2022-01-01 14:18:04.014000,2022-01-01 14:24:51.964000
398,406,2022-01-01 14:37:36.148000,2022-01-01 14:42:43.519000
464,414,2022-01-01 14:52:13.139000,2022-01-01 15:10:45.685000
464,562,2022-01-01 16:13:34.401000,2022-01-01 16:27:58.507000
464,562,2022-01-01 16:13:46.085000,2022-01-01 16:28:05.115000
464,562,2022-01-01 16:14:47.994000,2022-01-01 16:27:44.658000
398,585,2022-01-01 17:59:36.836000,2022-01-01 18:03:56.156000
398,579,2022-01-01 21:37:28.830000,2022-01-01 21:56:36.610000
